MLAT,3,1,1,A58DE0,1,2016/03/10,18:22:28.114,2016/03/10,18:22:28.114,,13610,308,318,36.9128,-122.0778,-865,,,,,,,,
MLAT,3,1,1,A10FBB,1,2016/03/10,18:22:28.116,2016/03/10,18:22:28.116,,4372,74,210,37.0269,-121.6476,51,,,,,,,,
MLAT,3,1,1,A81A3E,1,2016/03/10,18:22:28.429,2016/03/10,18:22:28.429,,21265,399,143,36.8163,-121.4118,1084,,,,,,,,
MLAT,3,1,1,AAF601,1,2016/03/10,18:22:28.496,2016/03/10,18:22:28.496,,4461,253,323,37.2135,-121.924,-525,,,,,,,,
MLAT,3,1,1,A24757,1,2016/03/10,18:22:28.807,2016/03/10,18:22:28.807,,39000,468,150,35.9679,-119.7137,-14,,,,,,,,
MLAT,3,1,1,A2C635,1,2016/03/10,18:22:29.183,2016/03/10,18:22:29.183,,37417,380,316,36.376,-120.401,-861,,,,,,,,
MLAT,3,1,1,A76E37,1,2016/03/10,18:22:29.587,2016/03/10,18:22:29.587,,28535,496,65,36.8474,-120.4589,1684,,,,,,,,
MLAT,3,1,1,A58DE0,1,2016/03/10,18:22:29.689,2016/03/10,18:22:29.689,,13583,308,318,36.915,-122.0799,-859,,,,,,,,
MLAT,3,1,1,AB5024,1,2016/03/10,18:22:29.759,2016/03/10,18:22:29.759,,6522,237,321,37.0519,-121.7301,-808,,,,,,,,
MLAT,3,1,1,AAF601,1,2016/03/10,18:22:29.761,2016/03/10,18:22:29.761,,4512,251,323,37.2143,-121.9245,-352,,,,,,,,
MLAT,3,1,1,A7BBE9,1,2016/03/10,18:22:30.060,2016/03/10,18:22:30.060,,8900,218,297,37.1429,-122.707,3,,,,,,,,
MLAT,3,1,1,A2C635,1,2016/03/10,18:22:30.262,2016/03/10,18:22:30.262,,37384,380,316,36.3784,-120.4042,-871,,,,,,,,
MLAT,3,1,1,A24757,1,2016/03/10,18:22:30.328,2016/03/10,18:22:30.328,,38999,466,151,35.9642,-119.7118,-11,,,,,,,,
MLAT,3,1,1,A24757,1,2016/03/10,18:22:30.395,2016/03/10,18:22:30.395,,38999,465,151,35.9602,-119.7101,-9,,,,,,,,
MLAT,3,1,1,A5217A,1,2016/03/10,18:22:31.330,2016/03/10,18:22:31.330,,14205,299,145,37.3775,-122.0811,1928,,,,,,,,
MLAT,3,1,1,A24757,1,2016/03/10,18:22:32.037,2016/03/10,18:22:32.037,,38999,463,151,35.9602,-119.7107,-10,,,,,,,,
MLAT,3,1,1,A10FBB,1,2016/03/10,18:22:32.103,2016/03/10,18:22:32.103,,4368,74,210,37.0254,-121.6487,26,,,,,,,,
MLAT,3,1,1,A81A3E,1,2016/03/10,18:22:32.106,2016/03/10,18:22:32.106,,21346,400,143,36.8087,-121.4048,1051,,,,,,,,
MLAT,3,1,1,A81A3E,1,2016/03/10,18:22:32.108,2016/03/10,18:22:32.108,,21345,400,143,36.8086,-121.405,1051,,,,,,,,
MLAT,3,1,1,A81A3E,1,2016/03/10,18:22:36.313,2016/03/10,18:22:36.313,,21375,400,143,36.8056,-121.4023,1037,,,,,,,,
MLAT,3,1,1,A10FBB,1,2016/03/10,18:22:36.785,2016/03/10,18:22:36.785,,4372,75,210,37.025,-121.6489,36,,,,,,,,
MLAT,3,1,1,AAF601,1,2016/03/10,18:22:36.851,2016/03/10,18:22:36.851,,4494,251,323,37.2192,-121.9286,-314,,,,,,,,
MLAT,3,1,1,AB5024,1,2016/03/10,18:22:37.093,2016/03/10,18:22:37.093,,6485,236,321,37.0543,-121.7328,-799,,,,,,,,
MLAT,3,1,1,AB5024,1,2016/03/10,18:22:37.159,2016/03/10,18:22:37.159,,6488,236,321,37.0543,-121.7328,-793,,,,,,,,
MLAT,3,1,1,A76E37,1,2016/03/10,18:22:37.651,2016/03/10,18:22:37.651,,28649,496,64,36.8528,-120.4502,1698,,,,,,,,
MLAT,3,1,1,A7BBE9,1,2016/03/10,18:22:37.718,2016/03/10,18:22:37.718,,8901,219,297,37.1451,-122.7128,4,,,,,,,,
MLAT,3,1,1,A10FBB,1,2016/03/10,18:22:37.720,2016/03/10,18:22:37.720,,4373,75,210,37.0248,-121.6491,39,,,,,,,,
MLAT,3,1,1,A2C635,1,2016/03/10,18:22:37.896,2016/03/10,18:22:37.896,,37354,380,316,36.381,-120.407,-871,,,,,,,,
MLAT,3,1,1,A58DE0,1,2016/03/10,18:22:37.962,2016/03/10,18:22:37.962,,13516,305,318,36.9203,-122.0851,-847,,,,,,,,
MLAT,3,1,1,AAF601,1,2016/03/10,18:22:37.964,2016/03/10,18:22:37.964,,4506,240,325,37.2188,-121.926,-282,,,,,,,,
MLAT,3,1,1,A96C7D,1,2016/03/10,18:22:38.099,2016/03/10,18:22:38.099,,9171,273,135,37.2375,-121.7695,3848,,,,,,,,
MLAT,3,1,1,A2C635,1,2016/03/10,18:22:38.201,2016/03/10,18:22:38.201,,37327,380,316,36.3837,-120.4098,-862,,,,,,,,
MLAT,3,1,1,A58DE0,1,2016/03/10,18:22:38.402,2016/03/10,18:22:38.402,,13509,306,317,36.9196,-122.086,-861,,,,,,,,
